workerid,rt,trial_type,property,trial_num,experimentResults,missing,explanation,n_data,condition,distribution,property_type,response,category,pass_both,language,englishNative
30,189770,prior_manipulation,know when earthquakes are about to happen,1,"[3, 100, 100, 0, 0, 100, 100, 97, 0, 0, u'?']",10,I based my response on a educated guest.,10,listener,rare_deterministic,psychological,1,daiths,1,English,TRUE
31,106827,prior_manipulation,know when earthquakes are about to happen,1,"[29, 1, 24, 0, 0, 0, 0, 22, 23, 25, u'?']",10,this is average on the scale of the other animals,10,listener,rare_weak,psychological,0.27,blins,1,english,TRUE
32,106778,prior_manipulation,know when earthquakes are about to happen,1,"[75, 0, 1, 76, 78, 74, 73, 1, 0, 1, u'?']",10,there wasnt an animal that could detect it 50% of the time,10,listener,rare_strong,psychological,0.51,glippets,1,english,TRUE
33,289172,prior_manipulation,know when earthquakes are about to happen,1,"[46, 0, 0, 1, 53, 50, 0, 0, 50, 49, u'?']",10,"Since my partner declared that Ks know when an earthquake is about to happen, she would&quotecharve had to observed enough Ks properly predict an imminent earthquake.",10,listener,rare_half,psychological,0.55,zoovs,1,english,TRUE
35,136770,prior_manipulation,know when earthquakes are about to happen,1,"[1, 0, 29, 27, 0, 26, 25, 0, 0, 23, u'?']",10,"response has normally been in 20s or 0 or 1, the pattern seemed to be spacing with more non-knowers (i.e. increased to two consecutive 0) and then the knowingness within the species decreased, ie the first couple were 29 and 27, the last was 23",10,listener,rare_weak,psychological,0.21,stups,1,english,TRUE
36,65597,prior_manipulation,know when earthquakes are about to happen,1,"[98, 100, 98, 1, 0, 100, 0, 0, 2, 99, u'?']",10,following the pattern,10,listener,rare_deterministic,psychological,0.86,plovs,1,english,TRUE
37,142985,prior_manipulation,know when earthquakes are about to happen,1,"[0, 100, 1, 1, 100, 0, 100, 100, 99, 1, u'?']",10,When an animal knows an earthquake is going to happen in most documented cases 100 of them know. So that is my best guess,10,listener,rare_deterministic,psychological,1,dorbs,1,English,TRUE
38,108223,prior_manipulation,know when earthquakes are about to happen,1,"[2, 0, 50, 51, 2, 50, 0, 53, 0, 50, u'?']",10,To know for sure a very high percentage needs to know,10,listener,rare_half,psychological,0.85,glippets,1,English,TRUE
39,66403,prior_manipulation,know when earthquakes are about to happen,1,"[1, 0, 0, 24, 21, 24, 1, 0, 23, 26, u'?']",10,~1/4 average when species know about earthquakes,10,listener,rare_weak,psychological,0.24,lorches,1,English,TRUE
41,203714,prior_manipulation,know when earthquakes are about to happen,1,"[100, 100, 100, 99, 0, 0, 2, 1, 99, 0, u'?']",10,"I imagine the number is pretty high since almost all that could detect earthquakes are pretty high, but without verification, I was not confident enough to provide a higher number.",10,listener,rare_deterministic,psychological,0.88,ackles,1,English,TRUE
42,191018,prior_manipulation,know when earthquakes are about to happen,1,"[27, 25, 24, 100, 100, 100, 26, 97, 22, 98, u'?']",10,"IT was part of a recurring pattern. The first three had mid-twenties percent chances, the next three had near-hundred, followed by mid-twenties, and then the beginning of a next hundred row. I assumed that the animals must have been deliberately organized by the scientists, though I may be assuming too much.",10,listener,weak_or_deterministic,psychological,0.95,trufts,1,English,TRUE
43,120772,prior_manipulation,know when earthquakes are about to happen,1,"[49, 0, 0, 0, 2, 0, 48, 50, 51, 50, u'?']",10,All the animals in that letter range know when earthquakes are about to happen approximately 50 percent of the time.,10,listener,rare_half,psychological,0.5,thups,1,English,TRUE
44,126985,prior_manipulation,know when earthquakes are about to happen,1,"[52, 0, 53, 47, 48, 0, 50, 0, 0, 0, u'?']",10,about same as previous percentages,10,listener,rare_half,psychological,0.55,ackles,1,english,TRUE
45,120982,prior_manipulation,know when earthquakes are about to happen,1,"[49, 51, 0, 53, 50, 1, 0, 0, 1, 49, u'?']",10,"About half of the animals know and another half don&quotechart know, and I believe we are currently following the trend of the half who do know.",10,listener,rare_half,psychological,0.52,grinks,1,English,TRUE
47,149029,prior_manipulation,know when earthquakes are about to happen,1,"[95, 30, 80, 5, 0, 100, 55, 70, 45, 20, u'?']",10,That is sort of in the middle of the range.,10,listener,uniform,psychological,0.7,glippets,1,English,TRUE
48,141062,prior_manipulation,know when earthquakes are about to happen,1,"[74, 77, 21, 25, 26, 22, 25, 74, 73, 78, u'?']",10,Most of Ks know,10,listener,weak_or_strong,psychological,0.81,lorches,1,English,TRUE
49,187852,prior_manipulation,know when earthquakes are about to happen,1,"[100, 100, 28, 100, 25, 26, 26, 100, 100, 27, u'?']",10,seems like a guess in the 20-30% range or 100%. I just went with the smaller range,10,listener,weak_or_deterministic,psychological,0.27,trufts,1,english,TRUE
50,234588,prior_manipulation,know when earthquakes are about to happen,1,"[45, 80, 5, 55, 20, 100, 70, 30, 0, 95, u'?']",10,There seems to be a drop off after each high percentage. The next animal seems to have a lower percentage of being able to predict.,10,listener,uniform,psychological,0.35,thups,1,English,TRUE
51,193844,prior_manipulation,know when earthquakes are about to happen,1,"[75, 99, 99, 79, 100, 74, 79, 100, 80, 99, u'?']",10,"all the animals thus far can sense a pending earthquake. the worst success rate is 75%, best if 100%, so I just took a wild guess somewhere between the two",10,listener,strong_or_deterministic,psychological,0.93,cheebas,1,english,TRUE
52,91412,prior_manipulation,know when earthquakes are about to happen,1,"[1, 2, 0, 100, 95, 98, 0, 98, 2, 100, u'?']",10,It was a total guess.,10,listener,rare_deterministic,psychological,0.02,zorbs,1,English,TRUE
54,62344,prior_manipulation,know when earthquakes are about to happen,1,"[30, 70, 95, 0, 5, 20, 45, 55, 80, 100, u'?']",10,There doesn&quotechart seem to be a pattern,10,listener,uniform,psychological,0.5,cheebas,1,English,TRUE
55,86056,prior_manipulation,know when earthquakes are about to happen,1,"[23, 27, 48, 49, 25, 51, 25, 22, 47, 49, u'?']",10,median low range of other known values,10,listener,weak_or_half,psychological,0.27,glippets,1,english,TRUE
56,79450,prior_manipulation,know when earthquakes are about to happen,1,"[98, 75, 96, 77, 100, 74, 76, 73, 100, 100, u'?']",10,The only way to know with certainty that earthquakes are about to happen is if they are triggered 100% of the time.,10,listener,strong_or_deterministic,psychological,1,zorbs,1,english,TRUE
57,145105,prior_manipulation,know when earthquakes are about to happen,1,"[100, 97, 25, 26, 100, 100, 25, 26, 27, 99, u'?']",10,"Some of the animal groups did not score 100$, but 97% was common and still pretty high.",10,listener,weak_or_deterministic,psychological,0.97,glippets,1,English,TRUE
58,167844,prior_manipulation,know when earthquakes are about to happen,1,"[0, 48, 47, 51, 0, 3, 47, 55, 0, 0, u'?']",10,"Partner is aware of previous percentages, so to make such a bold statement means it must be highest percentage.  Unless he just got lucky with a small sample size.",10,listener,rare_half,psychological,0.6,frams,1,English,TRUE
59,343211,prior_manipulation,know when earthquakes are about to happen,1,"[100, 25, 95, 100, 26, 25, 25, 99, 28, 100, u'?']",10,I was looking at the pattern of percentages - low and high - and demised that K would be a high percentage.,10,listener,weak_or_deterministic,psychological,0.95,dunkels,1,English,TRUE
60,89188,prior_manipulation,know when earthquakes are about to happen,1,"[75, 0, 0, 1, 75, 75, 78, 75, 0, 0, u'?']",10,It just seems to fit the pattern of percentages.,10,listener,rare_strong,psychological,0,dobles,1,English,TRUE
61,108359,prior_manipulation,know when earthquakes are about to happen,1,"[17, 23, 1, 0, 1, 21, 23, 0, 24, 1, u'?']",10,as you went further in the alphabet it seemed every other animal has a great understanding when earthquakes are about to happen,10,listener,rare_weak,psychological,0.25,javs,1,English,TRUE
62,227114,prior_manipulation,know when earthquakes are about to happen,1,"[79, 78, 74, 74, 1, 2, 1, 1, 77, 0, u'?']",10,It started to decrease after F although there was a jump the percentages became low again.,10,listener,rare_strong,psychological,0.4,javs,1,English,TRUE
63,181726,prior_manipulation,know when earthquakes are about to happen,1,"[25, 100, 100, 28, 26, 100, 21, 98, 24, 100, u'?']",10,Many of the animals had a greater than 50% ability to predict earthquakes.  I figured the new animal would be the same.,10,listener,weak_or_deterministic,psychological,0.8,reesles,1,English,TRUE
64,198853,prior_manipulation,know when earthquakes are about to happen,1,"[72, 100, 76, 75, 100, 72, 98, 100, 80, 100, u'?']",10,almost every third animal knew 100% that an earthquake would happen so Animal K wouldn&quotechart be 100%. Also after every 100% it would usually be followed by a 75%.,10,listener,strong_or_deterministic,psychological,0.75,elleps,1,english and spanish,TRUE
65,484361,prior_manipulation,know when earthquakes are about to happen,1,"[0, 55, 95, 20, 5, 100, 45, 80, 30, 70, u'?']",10,"Because There are other animals with a greater percentage of ability to detect earthquakes. Also, One animal already has 100% ability.",10,listener,uniform,psychological,0.6,zoovs,1,English,TRUE
67,244634,prior_manipulation,know when earthquakes are about to happen,1,"[22, 75, 79, 24, 78, 25, 75, 71, 26, 24, u'?']",10,I&quotecharm just guessing. The animals have either been in the 20% range or 70% range. The last two were in the 20&quotechars so I&quotecharm guessing K is in the 70s.,10,listener,weak_or_strong,psychological,0.76,daiths,1,English,TRUE
68,132608,prior_manipulation,know when earthquakes are about to happen,1,"[29, 0, 27, 1, 23, 28, 1, 28, 0, 1, u'?']",10,Because not many showed that ability.,10,listener,rare_weak,psychological,0.15,morseths,1,English,TRUE
69,105143,prior_manipulation,know when earthquakes are about to happen,1,"[0, 51, 53, 52, 50, 0, 0, 0, 0, 51, u'?']",10,The animals that know when earthquakes are about to happen range fro 51-53%,10,listener,rare_half,psychological,0.51,kweps,1,English,TRUE
70,219231,prior_manipulation,know when earthquakes are about to happen,1,"[0, 100, 99, 0, 100, 0, 98, 0, 100, 1, u'?']",10,"After the scientist find two animals that can detect earthquakes, they find one that cannot detect earthquakes.",10,listener,rare_deterministic,psychological,0,javs,1,English,TRUE
71,766861,prior_manipulation,know when earthquakes are about to happen,1,"[98, 2, 98, 0, 100, 100, 100, 0, 0, 1, u'?']",10,I thought of the numbers as a pattern an 1 is the next in the pattern I see.,10,listener,rare_deterministic,psychological,0.01,blins,1,English,TRUE
73,131155,prior_manipulation,know when earthquakes are about to happen,1,"[50, 0, 0, 0, 47, 47, 50, 1, 0, 46, u'?']",10,NA,10,listener,rare_half,psychological,0,wugs,1,English,TRUE
74,237867,prior_manipulation,know when earthquakes are about to happen,1,"[100, 99, 50, 49, 47, 52, 49, 96, 98, 97, u'?']",10,It seems reasonable the animal would be about half after discovering so many that were around 95% or higher,10,listener,half_or_deterministic,psychological,0.48,krivels,1,English,TRUE
75,199299,prior_manipulation,know when earthquakes are about to happen,1,"[96, 0, 100, 0, 1, 0, 100, 100, 1, 94, u'?']",10,Most of the animals that have been discovered who know when earthquakes are to happen have a very high percentage.  It is almost or all or none.,10,listener,rare_deterministic,psychological,1,zorbs,1,English,TRUE
76,56631,prior_manipulation,know when earthquakes are about to happen,1,"[2, 47, 0, 46, 0, 0, 49, 51, 0, 49, u'?']",10,It&quotechars been common to be around 50% but rare to be above it.,10,listener,rare_half,psychological,0.48,glippets,1,English,TRUE
77,62358,prior_manipulation,know when earthquakes are about to happen,1,"[99, 100, 28, 100, 100, 100, 30, 30, 23, 28, u'?']",10,each species seems to be getting less able to predict when earthquakes are about to happen.,10,listener,weak_or_deterministic,psychological,0.15,dorbs,1,English,TRUE
78,535839,prior_manipulation,know when earthquakes are about to happen,1,"[49, 49, 1, 0, 52, 0, 49, 49, 0, 0, u'?']",10,just a guess,10,listener,rare_half,psychological,0.49,frams,1,English,TRUE
79,86801,prior_manipulation,know when earthquakes are about to happen,1,"[75, 76, 100, 99, 99, 77, 70, 98, 100, 76, u'?']",10,I think thats what they were rated,10,listener,strong_or_deterministic,psychological,0.75,ackles,1,English,TRUE
82,169483,prior_manipulation,know when earthquakes are about to happen,1,"[77, 0, 1, 77, 0, 73, 0, 72, 0, 78, u'?']",10,"Trying to follow the pattern. A had 77%, B had 0% C had 1% D had 0%, etc.",10,listener,rare_strong,psychological,0.75,feps,1,English,TRUE
83,167205,prior_manipulation,know when earthquakes are about to happen,1,"[100, 22, 100, 26, 100, 24, 100, 22, 25, 98, u'?']",10,I&quotecharm feeling optimistic. Fifty percent of the animals on the planet seem to know with certain when an earthquake will occur. I took a chance that this included Animal K.,10,listener,weak_or_deterministic,psychological,1,zorbs,1,English,TRUE
84,104264,prior_manipulation,know when earthquakes are about to happen,1,"[25, 0, 0, 0, 25, 0, 29, 1, 23, 20, u'?']",10,"For the animals that can tell when earthquakes are going to happen, the most common percentage is 25%",10,listener,rare_weak,psychological,0.25,grinks,1,english,TRUE
85,45878,prior_manipulation,know when earthquakes are about to happen,1,"[0, 0, 0, 0, 25, 27, 27, 23, 0, 26, u'?']",10,NA,10,listener,rare_weak,psychological,0.53,zoovs,1,english,TRUE
86,114865,prior_manipulation,know when earthquakes are about to happen,1,"[0, 100, 0, 98, 98, 0, 94, 100, 0, 0, u'?']",10,"Based on the number of species so far that either can/can&quotechart, it seems about 50:50.",10,listener,rare_deterministic,psychological,0,javs,1,English,TRUE
87,158750,prior_manipulation,know when earthquakes are about to happen,1,"[75, 75, 100, 100, 100, 98, 76, 100, 76, 72, u'?']",10,"Because most animals know either the mid 70s, or high 90s/100s in terms of predictability.",10,listener,strong_or_deterministic,psychological,0.75,javs,1,English,TRUE
88,165678,prior_manipulation,know when earthquakes are about to happen,1,"[0, 54, 53, 51, 1, 1, 48, 44, 2, 2, u'?']",10,My partner didn&quotechart say MOST Ks know when earthquakes are about to happen.,10,listener,rare_half,psychological,0.9,ludinos,1,English,TRUE
89,142208,prior_manipulation,know when earthquakes are about to happen,1,"[49, 50, 99, 49, 50, 100, 95, 51, 100, 98, u'?']",10,"it is stronglyimplied based off the other animals, that when my partner says something explicitly it is inferred that it is 100%",10,listener,half_or_deterministic,psychological,1,dunkels,1,ENGLISH,TRUE
90,89322,prior_manipulation,know when earthquakes are about to happen,1,"[78, 26, 21, 31, 75, 70, 71, 26, 80, 29, u'?']",10,A lot seem to be over 70 percent.,10,listener,weak_or_strong,psychological,0.72,morseths,1,English,TRUE
91,110723,prior_manipulation,know when earthquakes are about to happen,1,"[51, 22, 49, 25, 49, 46, 26, 24, 50, 23, u'?']",10,based on the data i was given,10,listener,weak_or_half,psychological,0.6,dorbs,1,english,TRUE
92,173872,prior_manipulation,know when earthquakes are about to happen,1,"[54, 0, 50, 1, 46, 1, 0, 52, 0, 52, u'?']",10,"Because the partner didn&quotechart say that ""some ks"" know when earthquakes are about to happen. Saying that ""Ks know"" implies that most, if not all, ks know when earthquakes will happen.",10,listener,rare_half,psychological,0.95,moxes,1,English,TRUE
93,96141,prior_manipulation,know when earthquakes are about to happen,1,"[28, 31, 100, 29, 100, 100, 100, 27, 99, 29, u'?']",10,"I was trying to find a pattern and it seemed some were 100, others were in the low 20s or 30s.",10,listener,weak_or_deterministic,psychological,0.3,morseths,1,English,TRUE
95,87084,prior_manipulation,know when earthquakes are about to happen,1,"[25, 23, 54, 50, 24, 49, 55, 25, 28, 51, u'?']",10,gut feel,10,listener,weak_or_half,psychological,0.26,luzaks,1,English,TRUE
96,132541,prior_manipulation,know when earthquakes are about to happen,1,"[2, 0, 25, 25, 25, 26, 25, 0, 0, 0, u'?']",10,"Many other animals discovered so far have about a 25% success rate in predicting earthquakes, so it seems likely that this animal might be similar",10,listener,rare_weak,psychological,0.25,mooks,1,English,TRUE
97,224786,prior_manipulation,know when earthquakes are about to happen,1,"[45, 30, 5, 20, 95, 55, 70, 80, 100, 0, u'?']",10,I was following a pattern. My gut instinct.,10,listener,uniform,psychological,0.1,wugs,1,english,TRUE
98,228048,prior_manipulation,know when earthquakes are about to happen,1,"[0, 97, 100, 0, 100, 0, 100, 0, 0, 99, u'?']",10,Because 99% of Js know when earthquakes are about to happen. I based my answer on the pattern presented for the other animals.,10,listener,rare_deterministic,psychological,0,kweps,1,English,TRUE
100,67937,prior_manipulation,know when earthquakes are about to happen,1,"[23, 27, 50, 25, 26, 48, 52, 50, 52, 29, u'?']",10,Numbers were going up,10,listener,weak_or_half,psychological,0.33,crullets,1,English,TRUE
101,80178,prior_manipulation,know when earthquakes are about to happen,1,"[98, 0, 0, 100, 98, 0, 0, 1, 100, 100, u'?']",10,know is definitive - you either know or don&quotechart know. to say that a certain type knows something indicates it is absolute and across the board.,10,listener,rare_deterministic,psychological,1,frams,1,english,TRUE
102,131587,prior_manipulation,know when earthquakes are about to happen,1,"[2, 20, 2, 0, 24, 24, 0, 29, 24, 0, u'?']",10,It is the most commonly-occurring percentage among animals that can predict earthquakes.,10,listener,rare_weak,psychological,0.24,luzaks,1,English,TRUE
103,111758,prior_manipulation,know when earthquakes are about to happen,1,"[98, 26, 24, 20, 97, 98, 23, 100, 97, 24, u'?']",10,"Aside from a few of the beginning animals, they all seem to fall around the same percentage when it comes to knowing when earthquakes are going to happen.",10,listener,weak_or_deterministic,psychological,0.93,dunkels,1,English,TRUE
104,179774,prior_manipulation,know when earthquakes are about to happen,1,"[28, 26, 51, 27, 29, 51, 48, 28, 53, 45, u'?']",10,The predictions appear to be random.,10,listener,weak_or_half,psychological,0.32,stups,1,english,TRUE
106,390571,prior_manipulation,know when earthquakes are about to happen,1,"[96, 48, 100, 99, 47, 99, 99, 50, 53, 51, u'?']",10,"According to the information given, most animals have above 90%, three of which are 99%. So I chose 99% base off of this.",10,listener,half_or_deterministic,psychological,0.99,taifels,1,English,TRUE
107,108424,prior_manipulation,know when earthquakes are about to happen,1,"[100, 100, 0, 99, 100, 2, 0, 0, 100, 0, u'?']",10,"most of the animals that knew when earthquakes were about to happen were 100% so far.  that doesnt mean this one WILL be, but if i had to pick randomly that would be the trend to bet on so far.",10,listener,rare_deterministic,psychological,1,blins,1,english,TRUE
108,158163,prior_manipulation,know when earthquakes are about to happen,1,"[5, 45, 30, 55, 100, 0, 70, 80, 20, 95, u'?']",10,"It seems like many animals, but not all, have had to learn how to cope with earthquakes to survive. Possibly. Ks have an equal chance at developing that ability. But more species have some ability than none, so chances are the Ks will display some ability.",10,listener,uniform,psychological,0.5,lorches,1,English,TRUE
109,174544,prior_manipulation,know when earthquakes are about to happen,1,"[20, 70, 5, 30, 100, 80, 95, 55, 45, 0, u'?']",10,"Looking at the patterns, since 0% of Js know when they will happen, I assumed a small amount of Ks would know.",10,listener,uniform,psychological,0.2,taifels,1,English,TRUE
110,36673,prior_manipulation,know when earthquakes are about to happen,1,"[27, 26, 22, 96, 100, 23, 98, 96, 28, 97, u'?']",10,Some of them do but not all of them.,10,listener,weak_or_deterministic,psychological,0.53,dunkels,1,English,TRUE
111,56864,prior_manipulation,know when earthquakes are about to happen,1,"[74, 99, 75, 76, 98, 100, 70, 93, 100, 75, u'?']",10,i figured it would be a good amount,10,listener,strong_or_deterministic,psychological,0.5,dunkels,1,english,TRUE
112,127948,prior_manipulation,know when earthquakes are about to happen,1,"[46, 100, 49, 52, 100, 99, 97, 99, 51, 52, u'?']",10,"The more animals we studied, the higher the average was.",10,listener,half_or_deterministic,psychological,0.91,crullets,1,English,TRUE
113,156538,prior_manipulation,know when earthquakes are about to happen,1,"[24, 55, 51, 25, 47, 25, 23, 51, 47, 28, u'?']",10,because they must be at least a bit better than the previous ones,10,listener,weak_or_half,psychological,0.6,reesles,1,english,TRUE
114,195549,prior_manipulation,know when earthquakes are about to happen,1,"[55, 80, 30, 70, 45, 20, 5, 0, 100, 95, u'?']",10,"There is no way of knowing what % will know when earthquakes are about to happen, so I guessed at a midway point.",10,listener,uniform,psychological,0.5,zorbs,1,English,TRUE
115,119418,prior_manipulation,know when earthquakes are about to happen,1,"[46, 22, 53, 27, 51, 49, 48, 24, 30, 25, u'?']",10,"I think for him to make as strong a statement as that, the percentage might not have to be 100%, but at least would need to be significantly higher than any of the other animals we&quotechard found so far.",10,listener,weak_or_half,psychological,0.75,feps,1,English,TRUE
116,156786,prior_manipulation,know when earthquakes are about to happen,1,"[100, 100, 49, 49, 100, 52, 46, 100, 100, 50, u'?']",10,seems like every 2 animals are 100%,10,listener,half_or_deterministic,psychological,0.99,kazzes,1,english,TRUE
117,81537,prior_manipulation,know when earthquakes are about to happen,1,"[48, 100, 99, 100, 99, 54, 53, 49, 51, 100, u'?']",10,i  think it was a pattern,10,listener,half_or_deterministic,psychological,0.99,plovs,1,english,TRUE
118,98366,prior_manipulation,know when earthquakes are about to happen,1,"[99, 99, 99, 52, 53, 45, 100, 50, 48, 100, u'?']",10,"I remember the number
",10,listener,half_or_deterministic,psychological,0.52,frams,1,English,TRUE
119,72632,prior_manipulation,know when earthquakes are about to happen,1,"[75, 97, 75, 100, 99, 100, 74, 80, 100, 74, u'?']",10,educated guess,10,listener,strong_or_deterministic,psychological,0.7,dunkels,1,english,TRUE
120,233611,prior_manipulation,know when earthquakes are about to happen,1,"[27, 73, 24, 25, 75, 24, 77, 77, 23, 74, u'?']",10,"The choice was a 50/50 chance of being in either the 20s or 70s based on previous results. I chose the lower number because I felt like it might come up next, but this feeling is irrational.",10,listener,weak_or_strong,psychological,0.24,trufts,1,English,TRUE
121,190810,prior_manipulation,know when earthquakes are about to happen,1,"[99, 100, 23, 100, 28, 27, 93, 21, 99, 27, u'?']",10,The scientist was able to compare this animal to the other one and determine that it knows when earthquakes will happen so he must be confident in his answer.,10,listener,weak_or_deterministic,psychological,1,dunkels,1,English,TRUE
122,98454,prior_manipulation,know when earthquakes are about to happen,1,"[72, 0, 0, 74, 0, 0, 73, 76, 0, 71, u'?']",10,I thought it would on par with the pattern,10,listener,rare_strong,psychological,0.75,sapers,1,English,TRUE
